customer_id,customer_name,city
1,Pooja Sharma,Chennai
2,Neha Verma,Pune
3,Karan Iyer,Delhi
4,Sneha Verma,Delhi
5,Vikas Mehta,Chennai
6,Karan Patil,Delhi
7,Rahul Verma,Chennai
8,Rohit Iyer,Chennai
9,Anjali Iyer,Hyderabad
10,Rahul Mehta,Chennai
11,Priya Sharma,Mumbai
12,Amit Sharma,Bangalore
13,Priya Verma,Chennai
14,Karan Patil,Delhi
15,Pooja Verma,Pune
16,Karan Mehta,Bangalore
17,Rohit Iyer,Delhi
18,Rohit Verma,Mumbai
19,Amit Mehta,Pune
20,Anjali Patil,Pune
21,Karan Patil,Mumbai
22,Rohit Sharma,Hyderabad
23,Rohit Iyer,Chennai
24,Rohit Sharma,Pune
25,Amit Iyer,Pune
26,Amit Mehta,Pune
27,Rohit Patil,Bangalore
28,Karan Patil,Chennai
29,Pooja Iyer,Ahmedabad
30,Sneha Iyer,Pune
31,Anjali Verma,Bangalore
32,Neha Patil,Delhi
33,Neha Patil,Mumbai
34,Karan Patil,Pune
35,Neha Sharma,Delhi
36,Vikas Patil,Delhi
37,Neha Mehta,Hyderabad
38,Rohit Patil,Pune
39,Sneha Sharma,Delhi
40,Rahul Sharma,Ahmedabad
41,Neha Mehta,Ahmedabad
42,Vikas Sharma,Hyderabad
43,Sneha Iyer,Mumbai
44,Rahul Patil,Ahmedabad
45,Rahul Patil,Delhi
46,Priya Iyer,Delhi
47,Amit Iyer,Hyderabad
48,Priya Mehta,Chennai
49,Rohit Patil,Bangalore
50,Priya Patil,Chennai
51,Amit Mehta,Ahmedabad
52,Rahul Verma,Delhi
53,Sneha Mehta,Mumbai
54,Vikas Iyer,Ahmedabad
55,Amit Mehta,Bangalore
56,Anjali Verma,Ahmedabad
57,Priya Patil,Ahmedabad
58,Sneha Patil,Pune
59,Sneha Iyer,Hyderabad
60,Anjali Mehta,Mumbai
61,Neha Patil,Delhi
62,Karan Iyer,Bangalore
63,Amit Mehta,Delhi
64,Priya Iyer,Hyderabad
65,Karan Iyer,Hyderabad
66,Vikas Verma,Hyderabad
67,Neha Verma,Pune
68,Anjali Patil,Pune
69,Sneha Sharma,Pune
70,Pooja Mehta,Mumbai
71,Rahul Iyer,Chennai
72,Neha Patil,Delhi
73,Rahul Patil,Bangalore
74,Sneha Mehta,Ahmedabad
75,Rahul Patil,Hyderabad
76,Karan Iyer,Chennai
77,Karan Sharma,Mumbai
78,Vikas Patil,Ahmedabad
79,Pooja Patil,Delhi
80,Rahul Verma,Pune
81,Rohit Verma,Bangalore
82,Priya Patil,Chennai
83,Sneha Iyer,Ahmedabad
84,Priya Mehta,Delhi
85,Neha Iyer,Delhi
86,Vikas Patil,Hyderabad
87,Anjali Patil,Pune
88,Vikas Iyer,Bangalore
89,Pooja Patil,Chennai
90,Pooja Verma,Ahmedabad
91,Vikas Mehta,Pune
92,Pooja Iyer,Chennai
93,Anjali Sharma,Ahmedabad
94,Karan Mehta,Delhi
95,Anjali Verma,Pune
96,Anjali Iyer,Delhi
97,Karan Mehta,Hyderabad
98,Amit Mehta,Chennai
99,Karan Mehta,Chennai
100,Pooja Mehta,Hyderabad
